Description:,"New York City Labor Force Data, Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"New York State Department of Labor, Current Employment Statistics. Data seasonally adjusted by New York City Office of Management and Budget",,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,"As of the January 2018 reference month (released March 9, 2018), NYC OMB has altered its seasonal adjustment methodology.  For details see http://www1.nyc.gov/assets/omb/downloads/pdf/2stepSAmethodology.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"As of the May 2021 reference month (released July 2, 2021), NYC OMB has altered its seasonal adjustment methodology.  For details see http://www1.nyc.gov/assets/omb/downloads/pdf/nycomb_covidoutliers.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry:,Total Nonfarm,Total Private,Financial Activities,Finance and Insurance,Securities,Banking,Real Estate,Information,Professional and Business Services,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative Services,Employment Services,Education and Health Services,Educational Services,Health Care and Social Assistance,Leisure and Hospitality,"Arts, Entertainment, and Recreation", Accommodation and Food Services,Other Services,"Trade, Transportation, and Utilities",Retail Trade,Wholesale Trade,Transportation and Warehousing,Utilities,Construction, Manufacturing, Government
Units:,(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's)
1996M11,3405.019,2863.096,463.7743,353.367,168.3702,114.4119,110.4073,160.6731,479.1232,245.253,57.46566,176.4045,59.71957,583.3238,131.8199,451.5039,220.9118,47.90719,173.0046,126.4332,535.3749,253.6954,151.5472,112.3628,17.76945,93.12666,200.3545,541.9232
1996M12,3408.256,2864.004,464.5975,353.8732,169.335,113.7093,110.7243,160.3499,480.919,246.4019,57.13261,177.3845,60.87654,580.4487,130.8735,449.5752,221.6866,48.04527,173.6413,126.931,535.9961,253.544,151.7528,113.0897,17.60949,92.67305,200.4026,544.252
1997M01,3417.089,2869.704,460.901,351.7271,169.3478,112.9385,109.174,161.3418,482.2753,246.2069,56.1122,179.9561,61.41947,583.6247,131.1103,452.5145,223.8648,48.88087,174.9839,127.2214,537.3342,253.8488,151.7006,114.226,17.55882,91.47768,201.6627,547.3852
1997M02,3415.546,2870.436,461.6294,352.1533,170.5277,112.4443,109.476,161.2618,483.8283,247.2426,56.12773,180.458,61.60653,584.9361,132.6604,452.2757,225.1446,49.42574,175.7189,127.2564,534.003,253.0066,151.511,112.0067,17.47879,91.70947,200.6666,545.1104
1997M03,3428.225,2882.83,463.5478,353.4339,171.4895,112.3935,110.1139,161.4951,486.4756,249.1693,56.20761,181.0986,62.78569,584.9102,132.5542,452.356,227.0474,50.37156,176.6758,128.1596,535.8743,254.1638,151.7638,112.5425,17.40424,93.94433,201.3757,545.395
1997M04,3428.252,2883.099,464.532,354.7679,172.9462,112.0714,109.7641,158.6094,489.1887,250.6897,56.75836,181.7407,64.05841,586.647,134.4072,452.2397,226.1494,49.10513,177.0442,128.4093,535.2074,253.0358,152.3263,112.5282,17.31702,92.56058,201.7952,545.1535
1997M05,3434.698,2888.42,464.5275,354.9563,173.6558,111.8275,109.5712,162.0348,490.1681,251.9397,56.60897,181.6194,63.8153,586.459,134.2457,452.2133,227.9004,49.65633,178.244,128.5384,535.0099,252.9151,152.4787,112.433,17.18321,92.39595,201.3861,546.278
1997M06,3442.047,2895.641,465.7221,355.7188,174.7581,111.6137,110.0033,163.0067,492.5025,252.9785,56.6045,182.9194,64.54294,588.3023,134.5381,453.7642,228.4617,49.93936,178.5224,129.1058,535.6367,253.9453,152.7385,111.9926,16.96039,92.46033,200.4431,546.4054
1997M07,3460.188,2908.997,467.1013,357.2587,176.2569,111.6586,109.8426,163.6245,498.2876,256.1998,58.89096,183.1968,65.56713,591.2614,135.9294,455.332,229.9279,51.20278,178.7252,129.6723,535.2589,252.6366,153.1869,112.4774,16.95799,93.31388,200.5488,551.1918
1997M08,3462.672,2909.273,468.7196,358.2564,177.4469,111.6735,110.4632,164.4512,499.6203,256.8218,58.64037,184.1582,66.05906,591.2602,135.9341,455.3261,230.3337,50.89345,179.4403,129.8744,530.3818,252.9899,153.1083,107.4033,16.88023,94.22776,200.4036,553.3993
1997M09,3477.472,2924.353,470.3899,358.8812,178.6112,111.5725,111.5087,164.6878,501.3656,258.2215,57.8736,185.2705,67.48882,592.378,136.2633,456.1147,232.7166,51.72752,180.989,131.1013,536.8522,253.6848,153.3396,112.9917,16.83606,94.55661,200.3048,553.1192
1997M10,3486.545,2926.689,471.6058,359.9603,179.7443,111.3513,111.6455,166.8897,502.0917,258.8623,57.1872,186.0422,67.76496,593.0122,137.7452,455.267,229.9759,50.87876,179.0972,130.6655,536.7535,253.0845,153.8206,113.1607,16.6877,93.86941,201.8254,559.8557
1997M11,3484.924,2928.673,471.8864,360.2415,180.1921,111.4242,111.6449,165.9904,502.9831,260.4318,55.92995,186.6214,68.98333,592.2671,135.8952,456.3719,231.2566,51.30131,179.9553,130.6381,536.95,253.2194,153.7914,113.2921,16.64709,94.96406,201.7375,556.2505
1997M12,3498.319,2941.872,472.6713,360.58,180.8882,110.9288,112.0914,167.7687,506.123,262.5164,55.83722,187.7694,69.61332,593.6424,136.0782,457.5642,231.9634,51.71638,180.247,131.0359,540.4465,253.9591,154.9954,114.8998,16.59215,95.84402,202.3764,556.4476
1998M01,3501.252,2946.854,475.4645,362.3006,182.9455,110.6314,113.1638,165.8495,510.4735,267.928,58.3442,184.2013,64.60758,589.785,134.8883,454.8966,233.0494,50.91911,182.1303,131.8566,541.0714,258.8848,152.6144,113.1231,16.44907,97.39447,201.91,554.3972
1998M02,3505.227,2946.402,474.0631,361.2456,182.5406,110.2477,112.8175,165.2095,511.44,269.2867,58.31625,183.837,64.45235,591.3052,135.1945,456.1106,233.9859,50.94495,183.041,132.5403,538.2977,258.2479,152.3274,111.348,16.37438,98.54235,201.0178,558.8249
1998M03,3513.564,2952.211,474.3846,361.5496,183.5015,109.816,112.835,166.9676,514.8916,271.0091,58.35788,185.5246,65.84232,593.2695,135.8583,457.4112,233.8093,50.87105,182.9382,132.3464,537.998,257.973,151.9752,111.7578,16.29195,98.89538,199.6484,561.3539
1998M04,3518.996,2959.915,475.2689,361.6402,183.4629,110.0473,113.6287,167.076,520.5655,273.977,58.72117,187.8673,68.32965,597.833,138.1783,459.6547,232.5231,50.69317,181.8299,132.2368,538.2627,257.8174,151.8415,112.4977,16.10615,98.17027,197.9789,559.081
1998M05,3528.902,2968.542,475.6168,362.0869,184.146,109.9931,113.5299,168.5662,521.3292,274.7943,59.05388,187.481,67.90455,598.9311,137.5638,461.3673,235.1663,50.61966,184.5467,132.4835,539.3645,259.0462,151.7827,112.5609,15.97473,99.51163,197.5724,560.3602
1998M06,3532.571,2973.141,476.0355,362.7534,185.1239,110.0782,113.2821,167.2063,524.0768,276.7161,59.10108,188.2597,68.84684,600.7906,138.9077,461.8829,236.4995,51.49602,185.0035,132.3747,538.9967,258.9752,151.5081,112.5383,15.97509,100.6877,196.4732,559.4296
1998M07,3550.45,2990.023,478.3894,364.2966,186.845,109.4898,114.0928,165.9004,531.2662,280.6001,59.74813,190.918,69.38962,604.78,140.7791,464.0009,236.5927,50.89464,185.6981,134.0232,540.9025,260.5845,151.5297,112.9932,15.79503,102.0279,196.1405,560.4274
1998M08,3556.449,2993.381,478.6465,364.5978,187.5667,109.3046,114.0488,167.293,531.9182,280.6453,59.7079,191.5651,69.76528,606.6922,141.8272,464.865,235.9874,50.03543,185.952,134.7466,541.4421,261.2597,151.1239,113.2405,15.81803,102.1203,194.5341,563.0686
1998M09,3554.614,2996.552,478.4007,364.122,187.7918,109.0016,114.2787,166.6692,532.7126,280.8939,59.5994,192.2193,70.66083,607.3831,141.5301,465.853,238.4288,51.2102,187.2186,134.3477,541.9175,261.3579,151.0252,113.7992,15.7352,102.7688,193.9237,558.0618
1998M10,3570.454,3007.578,477.1677,363.4448,187.0845,109.2944,113.7229,168.0221,535.9882,285.2264,59.64831,191.1134,68.37436,609.8499,141.0156,468.8342,240.8627,52.83348,188.0292,135.6005,544.1055,263.7096,150.9402,113.7756,15.68005,104.3728,191.6091,562.8753
1998M11,3577.85,3012.05,477.6634,363.8128,187.6926,109.114,113.8505,169.1963,537.9589,286.1233,59.60629,192.2294,68.9209,610.6285,141.5229,469.1056,240.0524,52.51376,187.5387,136.8488,543.5128,262.8646,150.497,114.5215,15.62973,104.9392,191.2491,565.8007
1998M12,3583.96,3016.805,476.7596,363.3278,187.5941,108.8012,113.4318,168.027,539.3962,287.2666,59.71783,192.4117,68.75915,612.4069,142.1569,470.25,242.1279,52.52057,189.6074,137.3207,545.2512,263.9563,150.5233,115.2034,15.56817,105.8609,189.655,567.1543
1999M01,3606.958,3042.377,481.7913,366.074,189.6204,109.0697,115.7173,169.9351,541.166,290.0277,59.47586,191.6625,68.72538,621.0041,143.0441,477.9601,241.249,53.7352,187.5138,139.3551,547.361,263.9828,153.117,114.7208,15.5403,108.3999,192.1158,564.5804
1999M02,3609.746,3044.153,480.5433,365.0603,189.852,108.1789,115.483,171.2489,543.7014,291.1768,59.45045,193.0741,70.23119,618.6477,143.2247,475.4229,241.5712,53.95837,187.6128,139.1465,550.8719,267.2322,152.3196,115.8562,15.46396,108.9413,189.4807,565.5928
1999M03,3610.741,3045.835,479.1269,363.7067,189.592,107.4352,115.4202,170.9767,546.4664,291.9223,59.60532,194.9388,72.91278,619.0164,141.9228,477.0936,242.5084,54.18318,188.3253,139.5032,550.9212,267.6089,152.01,115.9187,15.38362,109.0493,188.2666,564.9056
1999M04,3612.868,3047.965,478.3601,362.9415,189.0793,107.2703,115.4185,171.3197,546.1219,292.3419,58.48121,195.2988,70.902,615.7785,138.8993,476.8792,242.8206,53.42511,189.3955,140.4733,554.6501,269.6618,153.5295,116.0537,15.40508,110.4025,188.0379,564.9029
1999M05,3613.048,3047.178,479.0183,363.2195,189.8256,107.0011,115.7989,169.8437,547.7257,293.7741,58.57923,195.3724,72.29029,615.1722,138.3624,476.8098,242.2782,53.42883,188.8494,140.6692,554.1176,268.8202,153.7898,116.1318,15.3758,111.1783,187.1749,565.8694
1999M06,3619.206,3053.032,477.575,361.7838,189.1803,106.3066,115.7912,171.4509,551.8666,296.29,58.61037,196.9662,73.06277,616.0785,138.7557,477.3228,242.3976,52.98168,189.416,140.6277,554.5794,269.404,153.7964,115.9844,15.39463,112.0225,186.4333,566.1741
1999M07,3642.267,3062.211,477.4171,362.8384,190.5262,106.1997,114.5787,176.1267,554.9705,297.9748,57.31711,199.6786,75.16316,617.3608,139.2747,478.0861,242.0477,52.65225,189.3955,141.0281,554.2293,270.3597,153.5733,115.0765,15.21969,112.8304,186.2008,580.0557
1999M08,3649.655,3069.7,478.45,363.2592,191.3615,105.9802,115.1908,176.5245,556.7767,299.0903,56.95783,200.7285,76.29621,617.4082,138.4609,478.9473,243.9665,53.5991,190.3674,141.16,556.0639,270.758,154.1601,115.8992,15.24661,114.1768,185.173,579.9553
1999M09,3635.659,3065.404,477.8645,362.6924,192.1716,105.1801,115.1721,176.2734,558.4886,299.8788,56.87498,201.7348,77.05726,613.8179,134.562,479.2559,245.2944,54.64542,190.649,140.6168,554.1536,269.8566,153.8836,115.5805,14.83284,114.8123,184.0824,570.2548
1999M10,3662.524,3092.643,482.2291,366.3266,193.5341,105.8856,115.9025,175.3751,563.8929,302.3035,56.91211,204.6773,79.28172,616.8365,138.815,478.0216,247.9689,54.66201,193.3069,144.6446,560.5428,273.2369,155.1138,117.325,14.86717,115.2976,185.8557,569.8808
1999M11,3671.968,3103.977,484.2163,367.9901,195.5277,105.9391,116.2262,175.3769,565.0535,303.5774,56.57569,204.9004,79.05031,618.4268,139.2396,479.1872,250.6842,54.64226,196.0419,145.8277,563.1927,275.2641,155.5834,117.5305,14.81465,115.5419,185.657,567.9915
1999M12,3681.075,3112.63,483.6973,367.7623,196.023,105.3168,115.935,176.6531,568.7399,305.3515,57.22726,206.1611,79.70217,619.6051,139.0334,480.5717,252.6152,55.34572,197.2695,145.2339,565.2865,277.4014,155.6225,117.5162,14.74649,116.6195,184.1794,568.4454
2000M01,3696.879,3126.122,485.2652,368.8115,196.7223,107.7135,116.4537,180.7299,569.2566,307.1,54.62391,207.5327,79.81538,625.2822,141.4271,483.855,251.3315,55.4196,195.9119,145.6278,568.7897,281.0668,154.0071,118.9919,14.72387,116.9929,182.8458,570.757
2000M02,3699.273,3129.955,485.8761,368.8147,197.1655,107.4644,117.0614,181.1532,573.104,310.0033,54.56615,208.5346,80.30933,625.0489,140.1178,484.9311,252.9677,55.61495,197.3528,145.9354,566.6467,279.1098,153.6613,119.1248,14.75067,117.3991,181.8237,569.318
2000M03,3706.787,3136.418,485.8908,368.673,197.1404,107.3825,117.2178,183.3831,575.3946,311.9043,54.08147,209.4089,81.23263,625.268,141.2816,483.9864,253.3606,55.76151,197.5991,146.1356,566.4498,279.2416,153.6346,118.7893,14.7843,119.2845,181.2508,570.3691
2000M04,3727.905,3151.514,487.0245,369.3581,199.1795,106.7481,117.6663,186.9769,580.2992,316.0211,53.63743,210.6407,81.95802,629.7105,144.7862,484.9243,254.9988,56.64049,198.3583,146.3258,567.2118,280.8431,152.8921,118.6706,14.80605,118.5316,180.4346,576.3918
2000M05,3743.258,3152.98,486.4681,368.6821,199.2029,106.2849,117.786,187.5034,586.1723,319.2105,53.3583,213.6035,83.23497,627.4426,140.8769,486.5657,254.5879,56.49044,198.0975,146.5002,567.2383,281.2781,153.0096,118.0685,14.88202,118.8253,178.2415,590.2781
2000M06,3739.6,3164.656,488.8721,370.5546,201.0862,106.2845,118.3176,190.096,589.4552,321.3161,53.405,214.7342,83.77317,626.6279,139.2075,487.4205,256.3986,57.66164,198.7369,146.719,569.3202,282.2873,153.6724,118.4339,14.92667,119.3653,177.8015,574.944
2000M07,3733.685,3156.815,485.4013,367.2922,200.5453,103.5948,118.1091,190.0834,589.9456,322.8969,53.17763,213.8712,84.15334,620.5106,133.7648,486.7457,257.9132,57.1557,200.7575,147.1676,569.2657,281.6515,153.6106,119.0659,14.93778,120.2903,176.2375,576.8694
2000M08,3723.974,3156.592,486.0552,367.6189,200.7878,103.5882,118.4362,179.4668,593.4325,324.6189,53.07543,215.7381,85.23394,623.7294,135.4338,488.2956,259.5197,58.23101,201.2887,147.8168,570.3064,282.5678,153.9206,118.9505,14.86746,121.0902,175.1749,567.3823
2000M09,3754.743,3185.368,488.5595,370.1963,203.3527,103.5824,118.3631,193.8273,596.0235,327.8414,52.76881,215.4133,85.83549,630.9863,143.2796,487.7067,260.3382,58.04212,202.296,148.7293,570.7553,282.2883,154.0008,119.5348,14.93141,122.0151,174.1334,569.3749
2000M10,3765.745,3192.939,490.8279,372.5193,205.9019,103.112,118.3086,194.4252,596.0916,328.2625,52.58319,215.246,86.90889,634.5743,148.0254,486.5489,261.5736,58.1999,203.3737,149.0151,570.2712,281.8901,153.5538,119.8721,14.95525,123.1736,172.9859,572.8067
2000M11,3766.755,3199.314,491.6722,372.2084,206.1295,102.4546,119.4638,194.0432,599.4768,330.6773,52.54345,216.2561,87.12514,633.4538,146.5397,486.914,264.2476,59.06444,205.1831,149.2028,571.6363,283.6688,153.2248,119.8433,14.89939,124.3141,171.2673,567.441
2000M12,3768.468,3201.029,491.2419,372.585,206.4147,102.4474,118.6569,192.8136,599.0219,330.58,52.59632,215.8456,86.80194,637.0157,148.2997,488.7159,264.0517,58.8947,205.157,149.1344,572.3114,284.4336,153.2926,119.5583,15.0269,124.7713,170.6668,567.4391
2001M01,3773.874,3207.395,487.7559,370.2677,205.1043,101.4483,117.4882,206.7855,604.555,327.2519,52.50114,224.802,94.72926,630.8433,146.084,484.7593,265.7543,58.73063,207.0237,148.7145,572.7878,279.5579,158.7685,119.7538,14.7076,124.6767,165.5219,566.4794
2001M02,3763.834,3202.958,485.6847,368.3545,203.37,101.2806,117.3302,205.7749,602.727,326.0352,52.72075,223.9711,92.48627,633.0855,146.5232,486.5622,266.2,59.1031,207.0969,148.9118,572.1667,278.8236,158.3919,120.2186,14.73263,124.3691,164.0385,560.8756
2001M03,3761.448,3198.75,486.2065,368.8915,203.9175,101.5348,117.315,206.398,598.9711,324.3633,53.01873,221.5891,91.18286,634.5089,147.1356,487.3732,266.4599,59.49449,206.9654,149.1379,570.1619,277.9897,157.404,119.9828,14.78543,124.4967,162.4089,562.6981
2001M04,3742.364,3174.229,483.9403,366.9796,201.8625,101.819,116.9607,204.4947,588.0645,318.4496,53.71222,215.9028,85.57715,636.8286,148.2905,488.538,261.6896,57.65597,204.0336,149.1431,565.8592,275.1207,156.1232,119.7986,14.81667,124.3292,159.8798,568.1347
2001M05,3737.907,3176.675,481.4169,365.0376,200.9256,101.3347,116.3793,204.1056,588.2104,316.6027,54.37002,217.2376,85.86384,640.396,150.1914,490.2046,265.6866,59.34007,206.3465,149.4253,564.521,274.7384,155.5794,119.4092,14.79396,124.5824,158.3313,561.2315
2001M06,3728.703,3168.587,480.2437,363.8163,200.2249,101.4631,116.4275,202.5354,585.305,314.4041,54.92382,215.9771,84.84444,642.2444,151.7167,490.5277,264.735,58.59681,206.1382,149.7743,562.4103,273.8716,155.069,118.7098,14.75987,123.805,157.5341,560.1154
2001M07,3732.257,3150.726,476.7395,360.408,197.1008,101.5449,116.3315,202.635,583.9249,311.8879,56.44323,215.5938,83.50495,641.1416,150.3421,490.7995,262.596,58.14005,204.456,149.3313,558.4216,271.6213,154.3853,117.661,14.7541,120.807,155.1294,581.5301
2001M08,3725.608,3143.321,474.6835,358.7392,195.8318,101.2405,115.9443,199.8382,581.3029,310.1165,56.91936,214.267,82.64058,643.1358,150.9901,492.1457,264.1988,57.82813,206.3707,149.8025,556.3487,271.8944,153.6708,115.9989,14.78466,120.2992,153.7116,582.2865
2001M09,3695.998,3127.948,474.6511,359.1876,197.1334,100.6493,115.4635,197.6823,581.945,309.7974,57.37907,214.7685,82.14908,641.179,150.4017,490.7773,263.8496,56.4871,207.3625,147.8276,551.4674,269.1992,152.758,114.7826,14.72768,118.2772,151.0694,568.0496
2001M10,3625.885,3058.368,447.4017,332.8118,172.3624,99.90902,114.5899,195.4358,561.7348,298.6591,57.47528,205.6004,76.79634,648.0308,151.0426,496.9882,248.424,55.74132,192.6827,146.8086,542.1489,265.6145,151.1208,110.6771,14.73642,120.2563,148.1273,567.5165
2001M11,3624.036,3055.072,447.6614,333.5162,173.9861,99.42216,114.1452,194.8288,561.395,297.5104,57.82644,206.0582,76.19535,650.067,151.4075,498.6595,250.7623,56.37685,194.3855,147.47,535.957,264.5459,149.9452,106.6803,14.78557,120.2818,146.6482,568.9646
2001M12,3612.925,3045.662,444.7048,330.818,172.2831,98.25327,113.8868,191.9961,556.6838,294.2707,57.95758,204.4556,75.09586,652.5063,151.4049,501.1015,252.6174,56.43082,196.1865,147.7187,534.1252,264.5464,149.6148,105.1578,14.80626,119.8668,145.4425,567.2629
2002M01,3609.187,3036.016,452.0102,339.2699,181.2338,96.93672,112.7403,183.3734,556.6549,293.7727,58.30604,204.5762,75.77142,649.4431,151.1551,498.288,248.9331,56.28342,192.6497,148.5363,534.7648,265.3449,148.7949,105.8399,14.78511,118.5098,143.79,573.171
2002M02,3612.739,3040.054,450.6828,337.5862,179.8195,96.58916,113.0967,183.7743,555.525,293.3836,58.8075,203.334,74.16398,653.3128,152.9067,500.4062,251.9262,56.32491,195.6013,148.9854,534.1166,265.1854,148.5725,105.5381,14.82061,118.7237,143.0077,572.6846
2002M03,3609.366,3035.328,449.0386,335.9838,178.1745,96.98551,113.0548,180.4245,553.7157,292.229,58.76134,202.7253,74.12586,654.7403,153.5304,501.2098,253.7981,56.24991,197.5482,149.1637,535.1648,266.556,148.2999,105.5159,14.79302,117.1432,142.1395,574.0376
2002M04,3605.816,3035.78,445.5467,332.5212,176.762,95.23939,113.0255,180.3108,553.6132,291.5591,59.08388,202.9702,75.3419,657.4749,154.7701,502.7049,255.0761,56.31675,198.7593,149.4572,536.0622,266.7853,148.2916,106.2614,14.72383,116.5425,141.696,570.0364
2002M05,3613.362,3040.614,444.5695,331.1591,175.7988,94.82788,113.4104,183.435,553.6037,291.4987,59.17328,202.9317,75.91713,658.9853,156.1971,502.7882,256.0309,55.98233,200.0486,149.8898,536.3433,267.2376,148.1412,106.2537,14.7109,115.9259,141.8303,572.7486
2002M06,3606.724,3033.672,443.223,330.0702,174.5445,94.72881,113.1527,181.0056,551.3373,289.4976,58.94385,202.8959,75.83675,660.2916,156.4893,503.8023,256.0042,56.23708,199.7671,149.8031,536.0282,268.046,147.4167,105.8755,14.69006,115.7063,140.2725,573.0523
2002M07,3600.91,3027.273,441.6745,328.3995,173.8039,94.16133,113.275,173.8347,550.2173,288.6028,58.86482,202.7497,75.53029,664.6201,157.986,506.634,257.1385,57.78859,199.3499,150.0526,534.8068,268.6078,146.1897,105.2425,14.76686,115.2935,139.6349,573.6374
2002M08,3601.565,3025.874,440.8143,327.4456,172.4388,94.3323,113.3688,174.7355,548.693,287.4147,58.68383,202.5945,75.12547,664.3412,157.6649,506.6763,258.9558,58.4533,200.5025,150.143,534.1106,268.406,146.982,103.9331,14.78952,114.9448,139.1362,575.6906
2002M09,3595.488,3021.178,440.4057,327.1277,172.6341,93.82389,113.2781,172.4476,547.9804,286.3195,58.8811,202.7797,74.92189,666.1509,158.8047,507.3461,257.0522,57.36305,199.6892,149.3603,535.7056,268.8891,146.9198,104.9738,14.92291,114.474,137.6012,574.3105
2002M10,3600.41,3028.062,441.4588,327.4238,173.3585,93.6087,114.035,172.7338,548.8555,286.5721,60.31217,201.9713,74.37648,665.8849,157.3489,508.5361,259.433,58.20773,201.2253,150.0861,538.3892,270.5162,147.9342,104.915,15.02383,114.5608,136.6594,572.3483
2002M11,3600.123,3024.861,440.4577,326.5072,172.574,93.67476,113.9505,172.666,547.8767,286.0146,59.70666,202.1555,74.80483,667.0454,157.705,509.3404,259.5896,57.99199,201.5976,150.3636,537.8344,270.8775,147.5373,104.4449,14.97477,114.1585,134.8696,575.2613
2002M12,3594.076,3018.245,438.6782,324.8615,171.3493,93.24207,113.8166,170.9714,545.7884,285.5808,59.24524,200.9624,73.52039,666.6795,157.0924,509.5871,259.9393,57.91258,202.0267,150.0825,538.305,272.1175,147.0779,104.1188,14.99077,114.3763,133.4245,575.8308
2003M01,3580.899,3011.113,437.9924,323.8575,168.9622,93.87805,114.1349,167.5537,540.934,286.0582,60.58665,194.2891,68.9805,670.0353,158.4909,511.5444,260.4109,57.69622,202.7147,149.9477,537.3505,268.6616,148.0018,105.8197,14.86743,114.1396,132.7494,569.7852
2003M02,3574.821,3004.777,435.2116,321.0924,166.5448,93.6379,114.1193,168.1792,538.1037,285.4635,60.6049,192.0352,67.70533,670.0766,158.8283,511.2483,260.975,57.67564,203.2994,149.7704,537.2734,268.8268,147.7082,105.6293,15.10908,113.447,131.7405,570.0439
2003M03,3563.867,2996.547,433.0014,319.1652,165.5486,93.07663,113.8361,165.7613,538.3596,285.4111,60.61821,192.3302,67.97657,670.879,158.7861,512.0929,259.1335,57.5319,201.6016,149.6905,535.345,267.6086,147.1308,105.4048,15.20082,113.6151,130.762,567.3201
2003M04,3555.575,2989.485,432.4148,318.6588,165.4101,92.57447,113.756,163.9971,537.7257,285.4675,60.26827,191.9899,67.36398,671.8142,159.0434,512.7708,259.7287,58.74893,200.9797,149.4524,531.9014,267.4756,145.2957,104.2944,14.83576,113.4447,129.006,566.0902
2003M05,3554.065,2988.221,433.0463,319.1196,165.4528,92.75319,113.9267,165.6995,536.779,285.5694,59.83228,191.3773,66.88855,671.2812,158.7639,512.5173,259.3808,58.27487,201.1059,149.1971,531.8787,267.1937,145.9798,103.8724,14.83277,113.365,127.5939,565.8438
2003M06,3547.645,2981.976,431.1941,317.5282,164.1816,92.36329,113.6659,162.6462,535.8235,285.504,59.87117,190.4483,66.44592,673.2856,159.5812,513.7044,260.8251,59.58235,201.2427,148.776,530.5777,266.4022,145.8918,103.3809,14.90276,112.852,125.9958,565.6688
2003M07,3540.963,2980.698,431.1547,317.44,164.6699,91.99053,113.7147,162.5534,534.4994,285.1193,59.45627,189.9239,66.47417,674.9968,161.8233,513.1735,259.9942,58.10616,201.888,148.791,530.9276,266.766,146.0947,103.1926,14.87442,112.9923,124.7885,560.2653
2003M08,3538.036,2976.636,430.0468,316.554,164.7904,91.49331,113.4927,164.0743,533.084,284.9252,58.93424,189.2246,65.5563,673.3391,160.6399,512.6991,259.3205,57.76239,201.5582,148.5609,531.8264,266.9698,146.1826,103.7847,14.88931,112.4257,123.9581,561.3997
2003M09,3548.011,2984.65,431.0266,317.473,166.0301,91.39783,113.5536,163.3516,535.8701,286.5471,58.95553,190.3674,66.59276,674.9219,160.6651,514.2568,262.5473,58.59823,203.9491,148.4122,532.2542,267.3989,146.3645,103.6794,14.81149,112.6911,123.5745,563.3614
2003M10,3555.835,2990.298,430.5305,316.7068,165.5686,91.23486,113.8237,163.7437,538.532,287.544,58.7214,192.2666,67.75444,676.4846,161.5984,514.8862,263.9605,59.43316,204.5274,148.7051,533.2364,268.6285,146.1169,103.6794,14.81157,111.8355,123.2694,565.5371
2003M11,3556.925,2990.498,431.3372,317.413,166.4648,90.99009,113.9242,164.4058,538.8221,287.7075,58.3861,192.7284,67.41363,675.9954,161.0341,514.9613,264.2814,59.093,205.1884,148.8696,532.0386,267.283,146.3415,103.6397,14.77443,111.36,123.388,566.4274
2003M12,3555.966,2989.144,432.2635,318.168,167.189,91.26696,114.0955,162.7686,538.6392,287.5404,57.90189,193.1969,67.0219,676.2021,160.4557,515.7464,264.7214,59.48865,205.2327,148.9798,531.5607,267.1325,146.0866,103.6592,14.68235,110.9648,123.0445,566.822
2004M01,3549.54,2983.658,431.8234,317.927,167.3786,90.90262,113.8964,161.4653,534.1002,285.6146,56.90284,191.5827,65.85925,675.9704,161.8916,514.0788,266.5251,60.44184,206.0833,149.2367,530.8914,266.9465,145.4491,103.7396,14.75621,110.4439,123.2017,565.8823
2004M02,3555.428,2989.163,432.3144,318.0485,167.6544,90.92421,114.2659,160.1819,537.0358,288.3216,56.96466,191.7495,65.79476,677.2341,162.3496,514.8845,266.6244,61.20163,205.4227,149.3049,532.2286,268.6475,145.6033,103.3698,14.60805,111.2933,122.9452,566.2656
2004M03,3563.866,2997.857,432.5012,318.1171,167.9225,90.66165,114.3841,161.4618,539.1024,290.0197,57.13562,191.9471,65.39266,679.3376,162.8904,516.4472,267.808,61.19997,206.608,149.5191,533.7429,269.7471,145.9253,103.5563,14.51414,111.6148,122.7691,566.0092
2004M04,3564.05,2998.303,432.3456,318.175,168.1255,90.71527,114.1706,161.6323,541.0571,291.5674,57.43078,192.0588,64.97629,678.0576,162.5032,515.5544,268.2679,61.41851,206.8494,149.5986,534.7677,271.1367,146.3344,102.8564,14.44023,111.0948,121.4811,565.747
2004M05,3570.712,3004.473,431.9771,317.6533,167.9018,90.54525,114.3238,160.0493,542.2118,291.3231,57.7278,193.1609,65.54509,681.0112,164.6016,516.4097,269.6688,62.14651,207.5223,149.9776,536.8903,272.643,146.611,103.1871,14.44914,111.391,121.2958,566.2394
2004M06,3574.994,3007.999,432.2841,317.7628,168.0107,90.63524,114.5213,159.0275,541.9831,291.2488,57.53105,193.2033,65.51276,681.7286,164.449,517.2796,270.9673,62.71177,208.2556,150.5663,538.3229,273.5705,146.809,103.5434,14.40001,111.9442,121.1746,566.9957
2004M07,3587.167,3022.109,434.5967,319.4346,168.4774,91.6335,115.1621,160.5022,542.5275,292.0682,57.48398,192.9753,65.32922,684.2882,164.476,519.8121,273.0955,62.50323,210.5923,150.8222,542.3353,275.5394,147.4303,104.9897,14.37593,112.9802,120.9611,565.0583
