Description:,"New York City Labor Force Data, Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"New York State Department of Labor, Current Employment Statistics. Data seasonally adjusted by New York City Office of Management and Budget",,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,"As of the January 2018 reference month (released March 9, 2018), NYC OMB has altered its seasonal adjustment methodology.  For details see http://www1.nyc.gov/assets/omb/downloads/pdf/2stepSAmethodology.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"As of the May 2021 reference month (released July 2, 2021), NYC OMB has altered its seasonal adjustment methodology.  For details see http://www1.nyc.gov/assets/omb/downloads/pdf/nycomb_covidoutliers.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry:,Total Nonfarm,Total Private,Financial Activities,Finance and Insurance,Securities,Banking,Real Estate,Information,Professional and Business Services,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative Services,Employment Services,Education and Health Services,Educational Services,Health Care and Social Assistance,Leisure and Hospitality,"Arts, Entertainment, and Recreation", Accommodation and Food Services,Other Services,"Trade, Transportation, and Utilities",Retail Trade,Wholesale Trade,Transportation and Warehousing,Utilities,Construction, Manufacturing, Government
Units:,(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's)
1991M06,3396.717,2798.433,494.3647,390.5566,151.5452,156.3061,103.8081,164.6561,428.5504,229.5355,47.50388,151.511,36.07369,495.7066,108.7405,386.9662,200.9458,40.47909,160.4667,119.3393,558.6462,247.0133,166.6952,123.9728,20.96491,98.95507,237.2686,598.2845
1991M07,3348.852,2776.351,491.4348,388.4304,151.1171,155.1832,103.0045,158.0414,424.5979,227.4156,47.38023,149.802,36.00791,499.0392,111.3119,387.7273,199.1715,40.58492,158.5865,118.114,553.2137,243.433,165.4525,123.365,20.96315,97.54874,235.1899,572.5014
1991M08,3354.167,2769.953,489.8608,386.5237,150.4194,154.1621,103.3371,158.4856,421.8585,226.0338,47.77554,148.0491,35.48051,499.3166,110.1717,389.1449,198.5824,40.25303,158.3293,118.0499,552.0103,243.0133,165.2498,122.7671,20.97997,96.17769,235.6114,584.2142
1991M09,3351.875,2762.257,488.0995,385.3057,150.4203,153.2691,102.7939,156.1326,421.8261,225.7779,48.01397,148.0342,35.93078,500.7408,110.7182,390.0226,197.5605,39.97226,157.5883,118.3924,550.1832,242.4595,165.0011,121.8555,20.8671,95.17981,234.1423,589.6174
1991M10,3347.881,2758.104,485.3902,382.4456,150.7389,150.7397,102.9446,158.8266,420.2061,224.8019,47.69596,147.7082,35.65605,500.8148,110.5427,390.2721,199.1567,41.23612,157.9205,117.5114,546.6957,240.5718,164.3772,120.8599,20.88686,94.3993,235.1029,589.7778
1991M11,3340.519,2753.455,484.7331,381.8017,151.1922,149.8703,102.9313,158.3172,419.699,223.6507,47.53006,148.5182,35.78998,501.243,109.7119,391.5311,197.8947,40.39987,157.4949,117.6204,546.7486,240.1504,163.9025,121.8753,20.82042,93.62657,233.573,587.0635
1991M12,3323.773,2739.666,484.7022,381.9001,151.4746,149.7169,102.8022,158.7436,418.2327,223.2918,47.38158,147.5594,35.89786,500.5276,109.1907,391.3369,197.6125,39.85821,157.7543,117.886,536.7613,238.0169,162.7511,115.2535,20.7397,93.02742,232.1724,584.1072
1992M01,3325.161,2740.137,476.2446,373.8146,149.4594,144.2475,102.43,157.759,419.6558,222.3914,50.62225,146.6422,35.09039,504.6387,109.1632,395.4756,195.075,40.26777,154.8072,118.8223,544.2478,240.5445,163.4968,119.5118,20.69468,92.68612,231.0074,585.0247
1992M02,3312.066,2728.139,474.9204,372.8909,149.1601,143.978,102.0294,155.8555,417.8209,221.4177,50.40286,146.0003,34.90155,505.3739,108.6822,396.6917,195.0124,40.24443,154.768,118.3112,540.381,238.4802,162.6981,118.5645,20.63816,91.14277,229.3213,583.9265
1992M03,3304.981,2720.99,474.1376,372.2022,149.4412,143.2309,101.9354,156.3348,416.9686,220.9937,50.37588,145.5991,34.51817,505.2804,108.0569,397.2235,194.5054,40.29548,154.2099,118.1323,537.9723,237.1144,161.7379,118.5055,20.6146,89.657,228.0017,583.9906
1992M04,3304.771,2720.29,474.1348,371.85,149.8771,143.4721,102.2848,153.8015,418.3525,221.6906,50.07164,146.5903,36.91678,508.6958,108.9521,399.7438,194.9702,40.45662,154.5136,118.1152,535.9399,236.1704,161.7783,117.3846,20.60649,87.5252,228.7551,584.4808
1992M05,3295.354,2712.631,474.0234,371.9081,150.5692,142.7133,102.1153,152.893,417.6769,220.8783,50.10469,146.6939,36.58054,509.2856,108.7043,400.5813,193.4766,39.77168,153.7049,117.8744,533.8462,235.1171,161.4615,116.7786,20.48895,86.59581,226.9588,582.7237
1992M06,3289.591,2706.697,472.6091,370.821,150.8102,141.8884,101.7882,152.0679,416.2806,220.8126,50.11679,145.3513,35.53585,511.1701,109.0438,402.1263,193.7489,40.16216,153.5867,117.7251,532.1345,234.6616,160.3272,116.5888,20.5569,85.67016,225.2908,582.8941
1992M07,3284.811,2705.249,470.7038,369.3574,151.625,141.2891,101.3464,152.7566,416.9809,221.5589,50.45957,144.9625,36.38006,512.132,108.5044,403.6276,195.1807,41.6928,153.4879,117.9933,529.0364,233.735,160.2766,114.5323,20.4924,85.26548,225.2001,579.5618
1992M08,3284.991,2694.069,469.4534,368.1097,151.7804,140.258,101.3438,152.2346,415.3141,219.6966,50.35619,145.2614,36.7133,512.6125,108.4712,404.1413,192.9601,40.78406,152.176,117.8152,526.1254,232.4711,159.0668,114.0744,20.51311,84.10136,223.4525,590.9219
1992M09,3278.347,2693.334,468.6257,367.0045,151.2393,139.8343,101.6212,154.9845,413.2146,218.3214,50.46428,144.429,36.25311,515.3921,109.7742,405.6179,192.8957,41.21797,151.6777,117.5374,524.2299,231.462,158.0554,114.1568,20.55563,83.07253,223.381,585.0135
1992M10,3278.132,2694.287,467.938,365.4135,149.8636,139.7738,102.5245,152.5055,416.8602,220.3892,51.32566,145.1454,36.91682,513.5882,107.2513,406.3369,192.9038,40.68793,152.2159,118.9751,525.7622,231.1994,158.9064,114.9614,20.69499,82.83627,222.9176,583.8451
1992M11,3268.365,2685.342,465.9577,363.6115,149.5441,138.6919,102.3462,152.4097,415.0918,219.4714,51.14231,144.4781,36.64381,514.059,106.8263,407.2326,192.4022,40.5556,151.8466,118.204,522.1404,229.2691,158.2358,114.0067,20.6288,82.60299,222.474,583.0234
1992M12,3270.746,2687.883,466.22,363.9659,150.4133,138.5152,102.2541,151.1607,416.5545,220.0271,51.09333,145.4341,37.43996,515.2624,107.6894,407.573,192.4901,40.91964,151.5705,118.6931,522.5901,229.1093,157.9837,114.8539,20.64325,82.93625,221.9757,582.8628
1993M01,3287.377,2704.18,467.4513,364.352,153.5396,135.9541,103.0993,151.9495,419.3975,221.4609,51.01034,146.9263,39.37552,520.7577,109.9405,410.8172,193.5726,39.88508,153.6875,119.0373,525.3092,232.6129,157.3317,114.7774,20.58717,83.98263,222.7224,583.1964
1993M02,3291.705,2706.962,468.2449,364.9006,153.5262,136.6474,103.3444,151.8133,421.163,222.163,51.0215,147.9785,39.94907,519.081,108.8356,410.2454,195.7838,40.65879,155.125,119.0876,525.7116,232.8173,157.2715,115.2927,20.33003,83.71387,222.3631,584.7427
1993M03,3285.641,2701.389,467.3131,364.1144,153.5686,136.0882,103.1987,151.4386,421.8428,222.1652,51.05336,148.6243,40.43388,521.1526,108.8729,412.2796,191.9415,40.23277,151.7087,119.1492,523.3827,231.2264,156.8928,115.0597,20.20388,83.61334,221.5556,584.252
1993M04,3292.225,2709.99,461.8871,357.7814,153.895,129.4224,104.1057,153.1341,428.3763,225.6425,52.42492,150.3089,41.29971,521.25,107.9484,413.3015,193.0526,40.71295,152.3397,120.3488,526.0236,233.1228,157.2642,115.3482,20.28848,84.81726,221.1,582.2357
1993M05,3288.892,2708.591,462.7579,358.215,154.1901,129.5284,104.5429,152.1554,424.6957,222.9949,52.20813,149.4926,40.91467,522.5216,107.9382,414.5834,194.3431,40.69787,153.6452,120.2792,525.1852,233.5672,156.8035,114.5495,20.2651,84.90259,221.7501,580.3013
1993M06,3291.899,2708.642,461.7775,357.5265,154.794,128.4983,104.251,153.8051,426.8943,223.2865,52.3381,151.2697,41.80509,522.7434,107.9919,414.7515,193.5115,40.95012,152.5614,119.7053,524.3041,233.741,156.3723,114.0417,20.14918,85.11971,220.781,583.2575
1993M07,3313.933,2711.82,461.9678,357.7299,155.4984,127.9817,104.238,153.9746,427.7408,222.9313,52.59659,152.2129,41.37282,525.7448,107.3564,418.3884,192.7379,41.24685,151.4911,119.761,525.7548,234.2053,155.9169,115.3047,20.32789,84.76227,219.3755,602.1134
1993M08,3307.342,2713.966,463.1351,358.5934,157.1897,127.4266,104.5417,154.0339,427.305,223.056,52.47379,151.7752,41.40051,526.6748,107.5365,419.1383,195.4725,41.43746,154.035,119.6965,525.1081,234.5128,155.5705,114.6686,20.35627,84.60031,217.9402,593.3759
1993M09,3304.377,2713.782,463.3432,358.7362,158.0391,126.8758,104.607,154.2716,429.1064,222.7232,52.64278,153.7404,42.3174,527.2719,106.9978,420.2741,195.6921,41.16066,154.5314,119.7151,521.0402,234.556,154.6628,112.074,19.74729,85.66109,217.6806,590.5948
1993M10,3309.472,2723.919,466.4821,361.0711,160.3315,126.7511,105.4109,152.2456,428.3938,222.1366,52.71578,153.5414,42.13038,532.7136,109.3556,423.358,195.8126,41.74824,154.0644,120.3246,525.3177,235.9987,155.1487,114.4755,19.69478,85.64991,216.9786,585.5536
1993M11,3309.766,2724.017,466.9781,361.4334,161.1869,126.5522,105.5447,151.5629,428.88,223.0247,52.8015,153.0538,42.37209,534.9134,110.4778,424.4356,195.9242,41.77941,154.1448,120.0816,524.0633,235.4295,154.6033,114.407,19.62361,85.67826,215.9356,585.7489
1993M12,3315.707,2727.992,467.4188,361.557,161.9797,126.1401,105.8618,152.8972,429.7109,223.0576,52.88891,153.7644,42.52602,535.4416,110.2304,425.2112,196.5511,41.83394,154.7172,120.1031,524.0784,236.0143,154.5466,113.8772,19.64036,86.83913,214.9513,587.7155
1994M01,3317.112,2728.353,469.5702,363.6565,163.3478,126.6477,105.9137,152.6614,432.2674,223.7455,52.86999,155.652,43.67615,535.3502,110.5129,424.8373,199.3949,42.97381,156.4211,119.5216,521.479,235.3458,154.2354,112.3252,19.57262,84.67195,213.436,588.7594
1994M02,3319.128,2730.239,469.9459,363.8654,164.1016,126.4438,106.0805,152.8563,434.0392,224.0239,53.02645,156.9888,44.48456,537.2858,111.0427,426.243,198.6309,42.91637,155.7145,119.867,520.6083,234.7622,154.0749,112.1516,19.61961,84.49735,212.508,588.8893
1994M03,3325.924,2738.173,470.7877,364.6547,165.3488,126.1069,106.133,153.7696,436.1851,225.4366,53.05495,157.6936,45.08964,538.861,111.2228,427.6382,199.1789,42.87067,156.3082,119.7025,520.6567,235.5073,154.4531,111.2132,19.48304,86.11809,212.9134,587.7513
1994M04,3330.891,2745.118,472.4957,366.6654,167.2423,125.8837,105.8303,153.2404,433.3676,224.2308,52.82051,156.3163,44.06512,541.3977,111.2211,430.1766,200.8856,42.99846,157.8872,120.4216,521.8842,236.4538,155.0143,110.95,19.46608,87.9241,213.5014,585.7722
1994M05,3329.468,2745.755,472.0626,366.2937,167.4175,125.5992,105.769,153.1907,434.7002,224.6166,52.9942,157.0895,45.13801,543.2942,112.0054,431.2888,200.3778,42.80466,157.5731,120.2233,521.0827,236.1614,154.6904,110.7962,19.43466,88.16543,212.6585,583.7123
1994M06,3331.245,2752.767,472.8495,366.6391,168.2991,124.9881,106.2105,154.7281,435.0742,225.1675,53.15179,156.7549,43.62148,545.1439,112.6108,432.5331,202.4221,44.33024,158.0919,121.0278,521.251,236.04,154.7919,110.9688,19.4504,88.10843,212.1616,578.4786
1994M07,3327.026,2758.83,473.005,366.0229,169.2476,123.8508,106.9821,152.3774,439.0915,226.5526,53.52223,159.0167,47.01057,547.6345,114.3922,433.2423,201.2384,42.0826,159.1557,121.3538,523.1257,237.5497,155.0893,111.0985,19.38826,89.29341,211.7104,568.1962
1994M08,3332.641,2764.662,473.0099,366.1592,169.6015,123.5971,106.8508,152.8031,440.7935,227.4628,53.93869,159.392,47.31642,549.7717,114.8705,434.9013,200.2388,41.87942,158.3594,121.4064,524.102,237.8355,155.3561,111.5878,19.32254,90.14079,212.3962,567.9791
1994M09,3328.916,2766.716,473.8981,366.3201,170.0862,123.2031,107.578,152.9504,440.5091,227.4379,54.04658,159.0247,47.19688,552.6415,116.251,436.3905,201.2076,42.01463,159.193,121.276,523.4699,237.842,155.5668,110.7225,19.33863,89.7941,210.9697,562.1999
